name,class,family,filepath
Hatchetfish,Fish,Gasteropelecidae,assets/sprites/Hatchetfish.png
Lanternfish,Fish,Myctophidae,assets/sprites/Lanternfish.png
Ribbonfish,Fish,Trichiuridae,assets/sprites/Ribbonfish.png
Snailfish,Fish,Liparidae,assets/sprites/Snailfish.png
Antlion,Insect,Myrmeleontidae,assets/sprites/Antlion.png
Serval,Mammal,Felidae,assets/sprites/Serval.png
Caracal,Mammal,Felidae,assets/sprites/Caracal.png
Kiang,Mammal,Equidae,assets/sprites/Kiang.png
Onager,Mammal,Equidae,assets/sprites/Onager.png
Bharal,Mammal,Bovidae,assets/sprites/Bharal.png
Guanaco,Mammal,Camelidae,assets/sprites/Guanaco.png
Vicuna,Mammal,Camelidae,assets/sprites/Vicuna.png
Blackstart,Bird,Muscicapidae,assets/sprites/Blackstart.png
Mandrill,Mammal,Cercopithecidae,assets/sprites/Mandrill.png
Zander,Fish,Percidae,assets/sprites/Zander.png
Olm,Amphibian,Proteidae,assets/sprites/Olm.png
Lamprey,Fish,Petromyzontidae,assets/sprites/Lamprey.png
Chianina,Mammal,Bovidae,assets/sprites/Chianina.png
Muskellunge,Fish,Esocidae,assets/sprites/Muskellunge.png
Brolga,Bird,Gruidae,assets/sprites/Brolga.png
Daphnia,Crustacean,Daphniidae,assets/sprites/Daphnia.png
Hoatzin,Bird,Opisthocomidae,assets/sprites/Hoatzin.png
Kakapo,Bird,Strigopidae,assets/sprites/Kakapo.png
Fossa,Mammal,Eupleridae,assets/sprites/Fossa.png
Gerenuk,Mammal,Bovidae,assets/sprites/Gerenuk.png
Saola,Mammal,Bovidae,assets/sprites/Saola.png
Sunbittern,Bird,Eurypygidae,assets/sprites/Sunbittern.png
Hirola,Mammal,Bovidae,assets/sprites/Hirola.png
Tamaraw,Mammal,Bovidae,assets/sprites/Tamaraw.png
Bullsnake,Reptile,Colubridae,assets/sprites/Bullsnake.png
Bluefish,Fish,Pomatomidae,assets/sprites/Bluefish.png
Sheepshead,Fish,Sparidae,assets/sprites/Sheepshead.png
Garfish,Fish,Belonidae,assets/sprites/Garfish.png
Pinfish,Fish,Sparidae,assets/sprites/Pinfish.png
Pumpkinseed,Fish,Centrarchidae,assets/sprites/Pumpkinseed.png
Opaleye,Fish,Kyphosidae,assets/sprites/Opaleye.png
Bloodhound,Mammal,Canidae,assets/sprites/Bloodhound.png
Groundhog,Mammal,Sciuridae,assets/sprites/Groundhog.png
Fisher,Mammal,Mustelidae,assets/sprites/Fisher.png
Caribou,Mammal,Cervidae,assets/sprites/Caribou.png
Nursehound,Fish,Scyliorhinidae,assets/sprites/Nursehound.png
Liger,Mammal,Felidae,assets/sprites/Liger.png
Cicada,Insect,Cicadidae,assets/sprites/Cicada.png
Tuatara,Reptile,Sphenodontidae,assets/sprites/Tuatara.png
Dhole,Mammal,Canidae,assets/sprites/Dhole.png
Tautog,Fish,Labridae,assets/sprites/Tautog.png
Pigfish,Fish,Haemulidae,assets/sprites/Pigfish.png
Ladyfish,Fish,Elopidae,assets/sprites/Ladyfish.png
Hogfish,Fish,Labridae,assets/sprites/Hogfish.png
Binturong,Mammal,Viverridae,assets/sprites/Binturong.png
Porkfish,Fish,Haemulidae,assets/sprites/Porkfish.png
Cotio,Fish,Cyprinidae,assets/sprites/Cotio.png
Wetapunga,Insect,Anostostomatidae,assets/sprites/Wetapunga.png
Wallcreeper,Bird,Tichodromidae,assets/sprites/Wallcreeper.png
Aardvark,Mammal,Orycteropodidae,assets/sprites/Aardvark.png
Garibaldi,Fish,Pomacentridae,assets/sprites/Garibaldi.png
Milkfish,Fish,Chanidae,assets/sprites/Milkfish.png
Alpaca,Mammal,Camelidae,assets/sprites/Alpaca.png
Llama,Mammal,Camelidae,assets/sprites/Llama.png
Banteng,Mammal,Bovidae,assets/sprites/Banteng.png
Zebu,Mammal,Bovidae,assets/sprites/Zebu.png
Moa,Bird,Dinornithidae,assets/sprites/Moa.png
Deinotherium,Mammal,Deinotheriidae,assets/sprites/Deinotherium.png
Mylodon,Mammal,Mylodontidae,assets/sprites/Mylodon.png
Smilodon,Mammal,Felidae,assets/sprites/Smilodon.png
Driptodon,Mammal,Glyptodontidae,assets/sprites/Driptodon.png
Andrewsarchus,Mammal,Andrewsarchidae,assets/sprites/Andrewsarchus.png
Daeodon,Mammal,Entelodontidae,assets/sprites/Daeodon.png
Entelodon,Mammal,Entelodontidae,assets/sprites/Entelodon.png
Hyaenodon,Mammal,Hyaenodontidae,assets/sprites/Hyaenodon.png
Paraceratherium,Mammal,Paraceratheriidae,assets/sprites/Paraceratherium.png
Aepycamelus,Mammal,Camelidae,assets/sprites/Aepycamelus.png
Argentavis,Bird,Teratornithidae,assets/sprites/Argentavis.png
Epicyon,Mammal,Canidae,assets/sprites/Epicyon.png
Arsinoitherium,Mammal,Arsinoitheriidae,assets/sprites/Arsinoitherium.png
Elasmosaurus,Reptile,Elasmosauridae,assets/sprites/Elasmosaurus.png
Barbaridactylus,Reptile,Nyctosauridae,assets/sprites/Barbaridactylus.png
Carnotaurus,Reptile,Abelisauridae,assets/sprites/Carnotaurus.png
Parasaurolophus,Reptile,Hadrosauridae,assets/sprites/Parasaurolophus.png
Baryonyx,Reptile,Spinosauridae,assets/sprites/Baryonyx.png
Suchomimus,Reptile,Spinosauridae,assets/sprites/Suchomimus.png
Therizinosaurus,Reptile,Therizinosauridae,assets/sprites/Therizinosaurus.png
Triceratops,Reptile,Ceratopsidae,assets/sprites/Triceratops.png
Megatherium,Mammal,Megatheriidae,assets/sprites/Megatherium.png
Jaguarundi,Mammal,Felidae,assets/sprites/Jaguarundi.png
Basilosaurus,Mammal,Basilosauridae,assets/sprites/Basilosaurus.png
Ichthyosaurus,Reptile,Ichthyosauridae,assets/sprites/Ichthyosaurus.png
Mosasaurus,Reptile,Mosasauridae,assets/sprites/Mosasaurus.png
Shonisaurus,Reptile,Shastasauridae,assets/sprites/Shonisaurus.png
Tylosaurus,Reptile,Mosasauridae,assets/sprites/Tylosaurus.png
Plesiosaurus,Reptile,Plesiosauridae,assets/sprites/Plesiosaurus.png
Pliosaurus,Reptile,Pliosauridae,assets/sprites/Pliosaurus.png
Bloodworm,Annelid,Glyceridae,assets/sprites/Bloodworm.png
Hydra,Cnidarian,Hydridae,assets/sprites/Hydra.png
Arthropleura,Other Invertebrate,Arthropleuridae,assets/sprites/Arthropleura.png
Titanoboa,Reptile,Boidae,assets/sprites/Titanoboa.png
Xiphactinus,Fish,Ichthyodectidae,assets/sprites/Xiphactinus.png
Enchodus,Fish,Enchodontidae,assets/sprites/Enchodus.png
Pachyrizodus,Fish,Pachyrhizodontidae,assets/sprites/Pachyrizodus.png
Protosphyraena,Fish,Saurodontidae,assets/sprites/Protosphyraena.png
Saurodon,Fish,Saurodontidae,assets/sprites/Saurodon.png
Bonnerichthys,Fish,Pachycormidae,assets/sprites/Bonnerichthys.png
Ichthyodectes,Fish,Ichthyodectidae,assets/sprites/Ichthyodectes.png
Leedsichthys,Fish,Pachycormidae,assets/sprites/Leedsichthys.png
Saurichthys,Fish,Saurichthyidae,assets/sprites/Saurichthys.png
Doedicurus,Mammal,Glyptodontidae,assets/sprites/Doedicurus.png
Glyptodon,Mammal,Glyptodontidae,assets/sprites/Glyptodon.png
Macrauchenia,Mammal,Macraucheniidae,assets/sprites/Macrauchenia.png
Toxodon,Mammal,Toxodontidae,assets/sprites/Toxodon.png
Genet,Mammal,Viverridae,assets/sprites/Genet.png
Razorbill,Bird,Alcidae,assets/sprites/Razorbill.png
Acrocanthosaurus,Reptile,Carcharodontosauridae,assets/sprites/Acrocanthosaurus.png
Allosaurus,Reptile,Allosauridae,assets/sprites/Allosaurus.png
Carcharodontosaurus,Reptile,Carcharodontosauridae,assets/sprites/Carcharodontosaurus.png
Giganotosaurus,Reptile,Carcharodontosauridae,assets/sprites/Giganotosaurus.png
Saurophaganax,Reptile,Allosauridae,assets/sprites/Saurophaganax.png
Shunosaurus,Reptile,Mamenchisauridae,assets/sprites/Shunosaurus.png
Tarbosaurus,Reptile,Tyrannosauridae,assets/sprites/Tarbosaurus.png
Torvosaurus,Reptile,Megalosauridae,assets/sprites/Torvosaurus.png
Dunkleosteus,Fish,Dunkleosteidae,assets/sprites/Dunkleosteus.png
Mrigal,Fish,Cyprinidae,assets/sprites/Mrigal.png
Gayal,Mammal,Bovidae,assets/sprites/Gayal.png
Chihuahua,Mammal,Canidae,assets/sprites/Chihuahua.png
Bonobo,Mammal,Hominidae,assets/sprites/Bonobo.png
Siamang,Mammal,Hylobatidae,assets/sprites/Siamang.png
Tardigrade,Other Invertebrate,Unknown,assets/sprites/Tardigrade.png
Sable,Mammal,Mustelidae,assets/sprites/Sable.png
Tayra,Mammal,Mustelidae,assets/sprites/Tayra.png
Aucasaurus,Reptile,Abelisauridae,assets/sprites/Aucasaurus.png
Kentrosaurus,Reptile,Stegosauridae,assets/sprites/Kentrosaurus.png
Spicomellus,Reptile,Ankylosauridae,assets/sprites/Spicomellus.png
Ampelosaurus,Reptile,Titanosauridae,assets/sprites/Ampelosaurus.png
Corythosaurus,Reptile,Hadrosauridae,assets/sprites/Corythosaurus.png
Gigantspinosaurus,Reptile,Stegosauridae,assets/sprites/Gigantspinosaurus.png
Masiakasaurus,Reptile,Noasauridae,assets/sprites/Masiakasaurus.png
Stegosaurus,Reptile,Stegosauridae,assets/sprites/Stegosaurus.png
Torosaurus,Reptile,Ceratopsidae,assets/sprites/Torosaurus.png
Dracorex,Reptile,Pachycephalosauridae,assets/sprites/Dracorex.png
Stygimoloch,Reptile,Pachycephalosauridae,assets/sprites/Stygimoloch.png
Tiktaalik,Fish,Tiktaalikidae,assets/sprites/Tiktaalik.png
Nanuqsaurus,Reptile,Tyrannosauridae,assets/sprites/Nanuqsaurus.png
Yutyrannus,Reptile,Tyrannosauridae,assets/sprites/Yutyrannus.png
Candiru,Fish,Trichomycteridae,assets/sprites/Candiru.png
Hexaprotodon,Mammal,Hippopotamidae,assets/sprites/Hexaprotodon.png
Dinocrocuta,Mammal,Hyaenidae,assets/sprites/Dinocrocuta.png
Percrocuta,Mammal,Hyaenidae,assets/sprites/Percrocuta.png
Amphicyon,Mammal,Amphicyonidae,assets/sprites/Amphicyon.png
Chalicotherium,Mammal,Chalicotheriidae,assets/sprites/Chalicotherium.png
Daphoenodon,Mammal,Amphicyonidae,assets/sprites/Daphoenodon.png
Megidtotherium,Mammal,Hyainailouridae,assets/sprites/Megidtotherium.png
Simbakubwa,Mammal,Hyaenodontidae,assets/sprites/Simbakubwa.png
Thylacosmilus,Mammal,Thylacosmilidae,assets/sprites/Thylacosmilus.png
Borophagus,Mammal,Canidae,assets/sprites/Borophagus.png
Enhydriodon,Mammal,Mustelidae,assets/sprites/Enhydriodon.png
Kolponomos,Mammal,Amphicyonidae,assets/sprites/Kolponomos.png
Purussaurus,Reptile,Alligatoridae,assets/sprites/Purussaurus.png
Quinkana,Reptile,Mekosuchidae,assets/sprites/Quinkana.png
Andalgalornis,Bird,Phorusrhacidae,assets/sprites/Andalgalornis.png
Andrewsornis,Bird,Phorusrhacidae,assets/sprites/Andrewsornis.png
Devincenzia,Bird,Phorusrhacidae,assets/sprites/Devincenzia.png
Kelenken,Bird,Phorusrhacidae,assets/sprites/Kelenken.png
Paraphysornis,Bird,Phorusrhacidae,assets/sprites/Paraphysornis.png
Patagornis,Bird,Phorusrhacidae,assets/sprites/Patagornis.png
Phorusrhacos,Bird,Phorusrhacidae,assets/sprites/Phorusrhacos.png
Titanis,Bird,Phorusrhacidae,assets/sprites/Titanis.png
Koolasuchus,Amphibian,Chigutisauridae,assets/sprites/Koolasuchus.png
Lythronax,Reptile,Tyrannosauridae,assets/sprites/Lythronax.png
Mastodonsaurus,Amphibian,Capitosauridae,assets/sprites/Mastodonsaurus.png
Prionosuchus,Amphibian,Archegosauridae,assets/sprites/Prionosuchus.png
Borealopelta,Reptile,Nodosauridae,assets/sprites/Borealopelta.png
Dorudon,Mammal,Basilosauridae,assets/sprites/Dorudon.png
Hatzegopteryx,Reptile,Azhdarchidae,assets/sprites/Hatzegopteryx.png
Moeritherium,Mammal,Moeritheriidae,assets/sprites/Moeritherium.png
Perucetus,Mammal,Basilosauridae,assets/sprites/Perucetus.png
Postosuchus,Reptile,Rauisuchidae,assets/sprites/Postosuchus.png
Quetzalcoatlus,Reptile,Azhdarchidae,assets/sprites/Quetzalcoatlus.png
Bushbuck,Mammal,Bovidae,assets/sprites/Bushbuck.png
Kagu,Bird,Rhynochetidae,assets/sprites/Kagu.png
Tiang,Mammal,Bovidae,assets/sprites/Tiang.png
Topi,Mammal,Bovidae,assets/sprites/Topi.png
Valenictus,Mammal,Odobenidae,assets/sprites/Valenictus.png
Fireworm,Annelid,Amphinomidae,assets/sprites/Fireworm.png
Scaleworm,Annelid,Polynoidae,assets/sprites/Scaleworm.png
Alamosaurus,Reptile,Titanosauridae,assets/sprites/Alamosaurus.png
Amargasaurus,Reptile,Dicraeosauridae,assets/sprites/Amargasaurus.png
Argentinosaurus,Reptile,Titanosauridae,assets/sprites/Argentinosaurus.png
Bajadasaurus,Reptile,Dicraeosauridae,assets/sprites/Bajadasaurus.png
Brachiosaurus,Reptile,Brachiosauridae,assets/sprites/Brachiosaurus.png
Diplodocus,Reptile,Diplodocidae,assets/sprites/Diplodocus.png
Dreadnoughtus,Reptile,Titanosauridae,assets/sprites/Dreadnoughtus.png
Nigersaurus,Reptile,Rebbachisauridae,assets/sprites/Nigersaurus.png
Saltasaurus,Reptile,Saltasauridae,assets/sprites/Saltasaurus.png
Sauroposeidon,Reptile,Brachiosauridae,assets/sprites/Sauroposeidon.png
Brachytrachelopan,Reptile,Diplodocidae,assets/sprites/Brachytrachelopan.png
Dicraeosaurus,Reptile,Dicraeosauridae,assets/sprites/Dicraeosaurus.png
Euhelopus,Reptile,Euhelopodidae,assets/sprites/Euhelopus.png
Mamenchisaurus,Reptile,Mamenchisauridae,assets/sprites/Mamenchisaurus.png
Patagotitan,Reptile,Titanosauridae,assets/sprites/Patagotitan.png
Supersaurus,Reptile,Diplodocidae,assets/sprites/Supersaurus.png
Apatosaurus,Reptile,Diplodocidae,assets/sprites/Apatosaurus.png
Camarasaurus,Reptile,Camarasauridae,assets/sprites/Camarasaurus.png
Anomalocaris,Other Invertebrate,Anomalocarididae,assets/sprites/Anomalocaris.png
Ceratosaurus,Reptile,Ceratosauridae,assets/sprites/Ceratosaurus.png
Concavenator,Reptile,Carcharodontosauridae,assets/sprites/Concavenator.png
Cryolophosaurus,Reptile,Dilophosauridae,assets/sprites/Cryolophosaurus.png
Mapusaurus,Reptile,Carcharodontosauridae,assets/sprites/Mapusaurus.png
Meraxes,Reptile,Carcharodontosauridae,assets/sprites/Meraxes.png
Neovenator,Reptile,Neovenatoridae,assets/sprites/Neovenator.png
Tyrannotitan,Reptile,Carcharodontosauridae,assets/sprites/Tyrannotitan.png
Alioramus,Reptile,Tyrannosauridae,assets/sprites/Alioramus.png
Nanotyrannus,Reptile,Tyrannosauridae,assets/sprites/Nanotyrannus.png
Qianzhousaurus,Reptile,Tyrannosauridae,assets/sprites/Qianzhousaurus.png
Raptorex,Reptile,Tyrannosauridae,assets/sprites/Raptorex.png
Anteosaurus,Reptile,Anteosauridae,assets/sprites/Anteosaurus.png
Dimetrodon,Reptile,Sphenacodontidae,assets/sprites/Dimetrodon.png
Diplocaulus,Amphibian,Diplocaulidae,assets/sprites/Diplocaulus.png
Estemmenosuchus,Reptile,Estemmenosuchidae,assets/sprites/Estemmenosuchus.png
Inostrancevia,Reptile,Gorgonopsidae,assets/sprites/Inostrancevia.png
Lystrosaurus,Reptile,Lystrosauridae,assets/sprites/Lystrosaurus.png
Scutosaurus,Reptile,Pareiasauridae,assets/sprites/Scutosaurus.png
Abelisaurus,Reptile,Abelisauridae,assets/sprites/Abelisaurus.png
Albertosaurus,Reptile,Tyrannosauridae,assets/sprites/Albertosaurus.png
Edaphosaurus,Reptile,Edaphosauridae,assets/sprites/Edaphosaurus.png
Eryops,Amphibian,Eryopidae,assets/sprites/Eryops.png
Gorgonops,Reptile,Gorgonopsinae,assets/sprites/Gorgonops.png
Lycaenops,Reptile,Gorgonopsidae,assets/sprites/Lycaenops.png
Moschops,Reptile,Tapinocephalidae,assets/sprites/Moschops.png
Secodontosaurus,Reptile,Sphenacodontidae,assets/sprites/Secodontosaurus.png
Sphenacodon,Reptile,Sphenacodontidae,assets/sprites/Sphenacodon.png
Tapinocephalus,Reptile,Tapinocephalidae,assets/sprites/Tapinocephalus.png
Titanophoneus,Reptile,Anteosauridae,assets/sprites/Titanophoneus.png
Clidastes,Reptile,Mosasauridae,assets/sprites/Clidastes.png
Diadectes,Reptile,Diadectidae,assets/sprites/Diadectes.png
Ophiacodon,Reptile,Ophiacodontidae,assets/sprites/Ophiacodon.png
Pareiasaurus,Reptile,Pareiasauridae,assets/sprites/Pareiasaurus.png
Platecarpus,Reptile,Mosasauridae,assets/sprites/Platecarpus.png
Albertonectes,Reptile,Elasmosauridae,assets/sprites/Albertonectes.png
Cretoxyrhina,Fish,Cretoxyrhinidae,assets/sprites/Cretoxyrhina.png
Enchoteuthis,Mollusk,Enchoteuthidae,assets/sprites/Enchoteuthis.png
Parapuzosia,Mollusk,Pachydiscidae,assets/sprites/Parapuzosia.png
Prognathadon,Reptile,Mosasauridae,assets/sprites/Prognathadon.png
Pteranodon,Reptile,Pteranodontidae,assets/sprites/Pteranodon.png
Ptychodus,Fish,Ptychodontidae,assets/sprites/Ptychodus.png
Squalicorax,Fish,Anacoracidae,assets/sprites/Squalicorax.png
Tusoteuthis,Mollusk,Tusoteuthidae,assets/sprites/Tusoteuthis.png
Deinosuchus,Reptile,Alligatoridae,assets/sprites/Deinosuchus.png
Kronosaurus,Reptile,Pliosauridae,assets/sprites/Kronosaurus.png
Megalania,Reptile,Varanidae,assets/sprites/Megalania.png
Platyptergius,Reptile,Ophthalmosauridae,assets/sprites/Platyptergius.png
Australotitan,Reptile,Titanosauridae,assets/sprites/Australotitan.png
Livyatan,Mammal,Physeteridae,assets/sprites/Livyatan.png
Megalodon,Fish,Otodontidae,assets/sprites/Megalodon.png
Gryposuchus,Reptile,Gavialidae,assets/sprites/Gryposuchus.png
Kaprosuchus,Reptile,Mahajangasuchidae,assets/sprites/Kaprosuchus.png
Meganeura,Insect,Meganeuridae,assets/sprites/Meganeura.png
Rhamphosuchus,Reptile,Gavialidae,assets/sprites/Rhamphosuchus.png
Archelon,Reptile,Protostegidae,assets/sprites/Archelon.png
Barinasuchus,Reptile,Sebecidae,assets/sprites/Barinasuchus.png
Mourasuchus,Reptile,Alligatoridae,assets/sprites/Mourasuchus.png
Protostega,Reptile,Protostegidae,assets/sprites/Protostega.png
Stupendemys,Reptile,Podocnemididae,assets/sprites/Stupendemys.png
Pebanista,Mammal,Iniidae,assets/sprites/Pebanista.png
Megalosaurus,Reptile,Megalosauridae,assets/sprites/Megalosaurus.png
Dimorphodon,Reptile,Dimorphodontidae,assets/sprites/Dimorphodon.png
Helicoprion,Fish,Helicoprionidae,assets/sprites/Helicoprion.png
Phoberomys,Mammal,Dinomyidae,assets/sprites/Phoberomys.png
Rhamphorhynchus,Reptile,Rhamphorhynchidae,assets/sprites/Rhamphorhynchus.png
Urumaquia,Mammal,Megatheriidae,assets/sprites/Urumaquia.png
Archaeopteryx,Bird,Archaeopterygidae,assets/sprites/Archaeopteryx.png
Brontosaurus,Reptile,Diplodocidae,assets/sprites/Brontosaurus.png
Deinocheirus,Reptile,Deinocheiridae,assets/sprites/Deinocheirus.png
Gigantoraptor,Reptile,Oviraptoridae,assets/sprites/Gigantoraptor.png
Ichthyornis,Bird,Ichthyornithidae,assets/sprites/Ichthyornis.png
Segnosaurus,Reptile,Therizinosauridae,assets/sprites/Segnosaurus.png
Shastasaurus,Reptile,Shastasauridae,assets/sprites/Shastasaurus.png
Sinomacrops,Reptile,Anurognathidae,assets/sprites/Sinomacrops.png
Afrovenator,Reptile,Megalosauridae,assets/sprites/Afrovenator.png
Duriavenator,Reptile,Megalosauridae,assets/sprites/Duriavenator.png
Eustreptospondylus,Reptile,Megalosauridae,assets/sprites/Eustreptospondylus.png
Daspletosaurus,Reptile,Tyrannosauridae,assets/sprites/Daspletosaurus.png
Euryterid,Other Invertebrate,Eurytomidae,assets/sprites/Euryterid.png
Gorgosaurus,Reptile,Tyrannosauridae,assets/sprites/Gorgosaurus.png
Lajasvenator,Reptile,Carcharodontosauridae,assets/sprites/Lajasvenator.png
Zhuchengtyrannus,Reptile,Tyrannosauridae,assets/sprites/Zhuchengtyrannus.png
Rhizodus,Fish,Rhizodontidae,assets/sprites/Rhizodus.png
Sarcosuchus,Reptile,Pholidosauridae,assets/sprites/Sarcosuchus.png
Cristatusurus,Reptile,Spinosauridae,assets/sprites/Cristatusurus.png
Elaphrosaurus,Reptile,Noasauridae,assets/sprites/Elaphrosaurus.png
Fasolasuchus,Reptile,Rauisuchidae,assets/sprites/Fasolasuchus.png
Genyodectes,Reptile,Ceratosauridae,assets/sprites/Genyodectes.png
Iberospinus,Reptile,Spinosauridae,assets/sprites/Iberospinus.png
Kryptops,Reptile,Abelisauridae,assets/sprites/Kryptops.png
Limusaurus,Reptile,Noasauridae,assets/sprites/Limusaurus.png
Vallibonavenatrix,Reptile,Spinosauridae,assets/sprites/Vallibonavenatrix.png
Australovenator,Reptile,Neovenatoridae,assets/sprites/Australovenator.png
Deinonychus,Reptile,Dromaeosauridae,assets/sprites/Deinonychus.png
Megaraptor,Reptile,Megaraptoridae,assets/sprites/Megaraptor.png
Sigilmassasaurus,Reptile,Spinosauridae,assets/sprites/Sigilmassasaurus.png
Velociraptor,Reptile,Dromaeosauridae,assets/sprites/Velociraptor.png
Dilophosaurus,Reptile,Dilophosauridae,assets/sprites/Dilophosaurus.png
Dracovenator,Reptile,Dilophosauridae,assets/sprites/Dracovenator.png
Edmontosaurus,Reptile,Hadrosauridae,assets/sprites/Edmontosaurus.png
Shantungosaurus,Reptile,Hadrosauridae,assets/sprites/Shantungosaurus.png
Ankylosaurus,Reptile,Ankylosauridae,assets/sprites/Ankylosaurus.png
Maiasaura,Reptile,Hadrosauridae,assets/sprites/Maiasaura.png
Majungasaurus,Reptile,Abelisauridae,assets/sprites/Majungasaurus.png
